Date,Contract,Units,$Volume,LowPrice,HighPrice,AvgPrice,LastPrice
08/31/00,Dem,283,140.651,0.489,0.509,0.497,0.501
08/31/00,Reform,359,1.655,0.004,0.006,0.005,0.004
08/31/00,Rep,737,370.691,0.5,0.508,0.503,0.501
09/01/00,Dem,672,335.14,0.493,0.513,0.499,0.513
09/01/00,Reform,439,1.938,0.004,0.007,0.004,0.004
09/01/00,Rep,458,231.788,0.49,0.519,0.506,0.517
09/02/00,Dem,201,102.51,0.501,0.515,0.51,0.501
09/02/00,Reform,74,0.296,0.004,0.004,0.004,0.004
09/02/00,Rep,160,79.143,0.481,0.5,0.495,0.5
09/03/00,Dem,324,162.019,0.5,0.503,0.5,0.5
09/03/00,Reform,111,0.451,0.004,0.006,0.004,0.004
09/03/00,Rep,259,128.492,0.495,0.5,0.496,0.495
09/04/00,Dem,368,184.437,0.498,0.508,0.501,0.508
09/04/00,Reform,232,1.147,0.004,0.005,0.005,0.005
09/04/00,Rep,627,309.452,0.487,0.499,0.494,0.49
09/05/00,Dem,656,332.57,0.5,0.518,0.507,0.511
09/05/00,Reform,301,1.553,0.005,0.006,0.005,0.005
09/05/00,Rep,580,282.832,0.474,0.496,0.488,0.478
09/06/00,Dem,590,322.189,0.511,0.6,0.546,0.533
09/06/00,Reform,157,0.718,0.003,0.006,0.005,0.004
09/06/00,Rep,414,192.836,0.458,0.488,0.466,0.469
09/07/00,Dem,1319,746.042,0.543,0.588,0.566,0.56
09/07/00,Reform,878,3.082,0.002,0.005,0.004,0.002
09/07/00,Rep,2287,1031.96,0.427,0.48,0.451,0.438
09/08/00,Dem,1448,842.84,0.547,0.604,0.582,0.576
09/08/00,Reform,69,0.15,0.002,0.003,0.002,0.003
09/08/00,Rep,871,378.067,0.426,0.439,0.434,0.432
09/09/00,Dem,404,230.584,0.562,0.575,0.571,0.562
09/09/00,Reform,366,0.822,0.002,0.003,0.002,0.003
09/09/00,Rep,612,263.759,0.424,0.439,0.431,0.439
09/10/00,Dem,357,199.714,0.547,0.569,0.559,0.551
09/10/00,Reform,1360,2.77,0.002,0.003,0.002,0.002
09/10/00,Rep,188,83.616,0.44,0.45,0.445,0.449
09/11/00,Dem,1197,692.269,0.553,0.599,0.578,0.585
09/11/00,Reform,391,0.792,0.002,0.003,0.002,0.002
09/11/00,Rep,742,322.743,0.426,0.445,0.435,0.426
09/12/00,Dem,999,586.843,0.57,0.599,0.587,0.574
09/12/00,Reform,946,1.914,0.002,0.003,0.002,0.002
09/12/00,Rep,761,322.723,0.41,0.442,0.424,0.419
09/13/00,Dem,532,314.614,0.575,0.599,0.591,0.595
09/13/00,Reform,686,1.372,0.002,0.002,0.002,0.002
09/13/00,Rep,1136,460.181,0.395,0.437,0.405,0.401
09/14/00,Dem,1599,974.139,0.591,0.625,0.609,0.62
09/14/00,Reform,244,0.489,0.002,0.003,0.002,0.002
09/14/00,Rep,734,289.27,0.36,0.417,0.394,0.382
09/15/00,Dem,1450,932.641,0.623,0.65,0.643,0.65
09/15/00,Reform,1737,4.97,0.002,0.003,0.003,0.003
09/15/00,Rep,1596,581.482,0.351,0.388,0.364,0.37
09/16/00,Dem,290,187.358,0.62,0.675,0.646,0.67
09/16/00,Reform,1387,1.774,0.001,0.003,0.001,0.003
09/16/00,Rep,1335,491.519,0.325,0.38,0.368,0.375
09/17/00,Dem,72,47.123,0.644,0.656,0.654,0.656
09/17/00,Reform,707,1.414,0.002,0.003,0.002,0.002
09/17/00,Rep,599,198.788,0.305,0.355,0.332,0.342
09/18/00,Dem,1436,1008.277,0.668,0.748,0.702,0.718
09/18/00,Reform,349,0.638,0.001,0.003,0.002,0.001
09/18/00,Rep,1413,439.968,0.275,0.338,0.311,0.314
09/19/00,Dem,1737,1200.952,0.67,0.728,0.691,0.699
09/19/00,Reform,1773,3.389,0.001,0.002,0.002,0.002
09/19/00,Rep,734,239.427,0.282,0.36,0.326,0.324
09/20/00,Dem,1438,934.879,0.605,0.698,0.65,0.605
09/20/00,Reform,9980,30.015,0.002,0.004,0.003,0.002
09/20/00,Rep,2228,808.563,0.32,0.435,0.363,0.39
